118995.wav,1,187,Water
235525.wav,1,187,Water
2531.wav,1,187,Water
191234.wav,1,187,Water
423964.wav,1,187,Water
159493.wav,1,187,Water
203718.wav,1,187,Water
411843.wav,1,187,Water
73223.wav,1,187,Water
391694.wav,1,187,Water
101676.wav,1,187,Water
243519.wav,1,187,Water
275597.wav,1,187,Water
398708.wav,1,187,Water
346429.wav,1,187,Water
398721.wav,1,187,Water
423959.wav,1,187,Water
393703.wav,1,187,Water
62556.wav,1,187,Water
365540.wav,1,187,Water
241195.wav,1,187,Water
130369.wav,1,187,Water
139769.wav,1,187,Water
328172.wav,1,187,Water
83157.wav,1,187,Water
376797.wav,1,187,Water
180949.wav,1,187,Water
347407.wav,1,187,Water
108423.wav,1,187,Water
203043.wav,1,187,Water
110612.wav,1,187,Water
262050.wav,1,187,Water
80732.wav,1,187,Water
50057.wav,1,187,Water
197886.wav,1,187,Water
403047.wav,1,187,Water
196665.wav,1,187,Water
367808.wav,1,187,Water
57175.wav,1,187,Water
390270.wav,1,187,Water
238362.wav,1,187,Water
41176.wav,1,187,Water
320297.wav,1,187,Water
146008.wav,1,187,Water
415151.wav,1,187,Water
337469.wav,1,187,Water
50785.wav,1,187,Water
24090.wav,1,187,Water
76207.wav,1,187,Water
263030.wav,1,187,Water
164039.wav,1,187,Water
64368.wav,1,187,Water
94380.wav,1,187,Water
395105.wav,1,187,Water
153329.wav,1,187,Water
129298.wav,1,187,Water
399652.wav,1,187,Water
232779.wav,1,187,Water
141702.wav,1,187,Water
81487.wav,1,187,Water
320482.wav,1,187,Water
271332.wav,1,187,Water
174579.wav,1,187,Water
395393.wav,1,187,Water
149722.wav,1,187,Water
169678.wav,1,187,Water
78236.wav,1,187,Water
433602.wav,1,187,Water
346220.wav,1,187,Water
174624.wav,1,187,Water
275468.wav,1,187,Water
64458.wav,1,187,Water
20787.wav,1,187,Water
104074.wav,1,187,Water
124587.wav,2,187,Water
67828.wav,2,187,Water
320301.wav,2,187,Water
76923.wav,2,187,Water
71522.wav,2,187,Water
242981.wav,2,187,Water
392980.wav,2,187,Water
420556.wav,2,187,Water
235622.wav,2,187,Water
238017.wav,2,187,Water
8369.wav,2,187,Water
155898.wav,2,187,Water
317338.wav,2,187,Water
71218.wav,2,187,Water
320306.wav,2,187,Water
349067.wav,3,187,Water
67114.wav,3,187,Water
335749.wav,3,187,Water
189337.wav,3,187,Water
235554.wav,3,187,Water
243971.wav,3,187,Water
386870.wav,3,187,Water
432437.wav,3,187,Water
213611.wav,3,187,Water
243574.wav,3,187,Water
147751.wav,3,187,Water
63764.wav,3,187,Water
212826.wav,3,187,Water
52290.wav,1,106,Knock
412381.wav,1,106,Knock
211497.wav,1,106,Knock
323481.wav,1,106,Knock
349287.wav,1,106,Knock
243786.wav,1,106,Knock
372573.wav,1,106,Knock
365666.wav,1,106,Knock
274939.wav,1,106,Knock
416117.wav,1,106,Knock
413271.wav,1,106,Knock
274814.wav,1,106,Knock
349309.wav,1,106,Knock
395095.wav,1,106,Knock
349305.wav,1,106,Knock
83136.wav,1,106,Knock
65925.wav,1,106,Knock
412857.wav,1,106,Knock
193873.wav,1,106,Knock
170902.wav,1,106,Knock
144946.wav,1,106,Knock
174640.wav,1,106,Knock
104002.wav,1,106,Knock
211502.wav,1,106,Knock
135428.wav,1,106,Knock
347609.wav,1,106,Knock
371661.wav,1,106,Knock
426736.wav,1,106,Knock
325228.wav,1,106,Knock
364678.wav,1,106,Knock
218985.wav,1,106,Knock
267931.wav,1,106,Knock
180147.wav,1,106,Knock
82817.wav,1,106,Knock
265968.wav,1,106,Knock
362633.wav,1,106,Knock
334043.wav,1,106,Knock
232923.wav,1,106,Knock
412376.wav,1,106,Knock
378740.wav,1,106,Knock
349244.wav,1,106,Knock
342552.wav,1,106,Knock
370916.wav,1,106,Knock
349307.wav,1,106,Knock
349294.wav,1,106,Knock
144950.wav,1,106,Knock
349293.wav,1,106,Knock
372231.wav,1,106,Knock
144951.wav,1,106,Knock
151894.wav,1,106,Knock
372230.wav,1,106,Knock
152593.wav,1,106,Knock
154463.wav,1,106,Knock
349288.wav,1,106,Knock
407349.wav,1,106,Knock
32296.wav,1,106,Knock
430844.wav,1,106,Knock
101336.wav,1,106,Knock
190027.wav,1,106,Knock
144510.wav,1,106,Knock
182022.wav,1,106,Knock
349286.wav,1,106,Knock
209222.wav,1,106,Knock
366236.wav,1,106,Knock
349292.wav,1,106,Knock
237937.wav,1,106,Knock
85919.wav,2,106,Knock
413742.wav,2,106,Knock
370899.wav,2,106,Knock
329924.wav,2,106,Knock
209223.wav,2,106,Knock
182039.wav,2,106,Knock
